game_id,tag
3696,Steam Achievements
3696,Multiplayer
3696,Atmospheric
3696,Great Soundtrack
3696,Story Rich
3696,First-Person
3696,Sci-fi
3696,Partial Controller Support
3696,Horror
3696,FPS
3696,Gore
3696,Steam Leaderboards
3696,Stealth
3696,War
3696,Historical
3696,Dystopian
3696,Robots
3696,World War II
3696,Alternate History
4332,Singleplayer
4332,Steam Achievements
4332,Multiplayer
4332,Full controller support
4332,Steam Cloud
4332,Atmospheric
4332,Great Soundtrack
4332,Co-op
4332,Story Rich
4332,Third Person
4332,Horror
4332,Steam Leaderboards
4332,Third-Person Shooter
4332,stats
4332,Dark
4332,Cross-Platform Multiplayer
4332,War
4332,Post-apocalyptic
4332,Mature
4332,Military
4332,Psychological
4332,Based On A Novel
4332,Political
4332,european
58134,Singleplayer
58134,Atmospheric
58134,Open World
58134,Exploration
58134,Action-Adventure
58134,exclusive
58134,Cinematic
58134,Beat em up
58134,true exclusive
58134,3rd-Person Perspective
58134,Comic Book
58134,America
58134,Superhero
58134,new york
4386,Singleplayer
4386,Multiplayer
4386,Great Soundtrack
4386,RPG
4386,Co-op
4386,Open World
4386,cooperative
4386,Third Person
4386,Partial Controller Support
4386,Online Co-Op
4386,Funny
4386,Sandbox
4386,Female Protagonist
4386,Comedy
4386,Third-Person Shooter
4386,Zombies
4386,Character Customization
4386,Crime
4386,Satire
29177,Singleplayer
29177,Steam Achievements
29177,Full controller support
29177,Steam Cloud
29177,Atmospheric
29177,Great Soundtrack
29177,Story Rich
29177,Third Person
29177,Sci-fi
29177,Exploration
29177,Female Protagonist
29177,Violent
29177,Action-Adventure
29177,exclusive
29177,Replay Value
29177,Choices Matter
29177,Cinematic
29177,Futuristic
29177,Cyberpunk
29177,Multiple Endings
29177,Robots
29177,3rd-Person Perspective
29177,Detective
29177,Drama
29177,Narration
29177,America
29177,Emotional
29177,Beautiful
29177,Dynamic Narration
29177,Remote Play on TV
29177,european
29177,futurism
39,Singleplayer
39,Steam Achievements
39,Full controller support
39,Steam Cloud
39,Atmospheric
39,steam-trading-cards
39,Great Soundtrack
39,RPG
39,Story Rich
39,Open World
39,First-Person
39,Sci-fi
39,Horror
39,FPS
39,Exploration
39,Violent
39,Stealth
39,Space
39,Survival Horror
39,Futuristic
39,Aliens
39,Heist
39,Immersive Sim
5563,Singleplayer
5563,Steam Achievements
5563,Atmospheric
5563,RPG
5563,Story Rich
5563,Open World
5563,First-Person
5563,Third Person
5563,Sci-fi
5563,Partial Controller Support
5563,FPS
5563,Exploration
5563,Steam Leaderboards
5563,Sandbox
5563,Survival
5563,Action RPG
5563,Moddable
5563,Character Customization
5563,Post-apocalyptic
5563,Western
4828,Singleplayer
4828,Steam Achievements
4828,Multiplayer
4828,Steam Cloud
4828,RPG
4828,Co-op
4828,Open World
4828,cooperative
4828,First-Person
4828,Sci-fi
4828,Partial Controller Support
4828,FPS
4828,Online Co-Op
4828,Funny
4828,Gore
4828,Comedy
4828,Local Co-Op
4828,Action RPG
4828,Post-apocalyptic
4828,Dark Humor
4828,Loot
12447,Singleplayer
12447,Steam Achievements
12447,Steam Cloud
12447,Atmospheric
12447,Great Soundtrack
12447,RPG
12447,Story Rich
12447,Open World
12447,First-Person
12447,Third Person
12447,Partial Controller Support
12447,Fantasy
12447,Classic
12447,Female Protagonist
12447,Stealth
12447,Moddable
12447,Character Customization
12447,Magic
12447,Walking Simulator
12447,Remake
12447,Dragons
864,Singleplayer
864,Steam Achievements
864,Full controller support
864,Steam Cloud
864,Atmospheric
864,steam-trading-cards
864,Great Soundtrack
864,Story Rich
864,Open World
864,First-Person
864,Gore
864,Exploration
864,Female Protagonist
864,Stealth
864,Magic
864,Parkour
864,Dystopian
864,Steampunk
864,Assassin
864,Illuminati
864,Heist
864,Supernatural
864,Immersive Sim
9882,Singleplayer
9882,Multiplayer
9882,Full controller support
9882,Atmospheric
9882,steam-trading-cards
9882,Co-op
9882,Open World
9882,cooperative
9882,2D
9882,Horror
9882,Online Co-Op
9882,Funny
9882,Difficult
9882,Sandbox
9882,Survival
9882,Local Co-Op
